"","日期","AQI","范围","质量等级","PM2.5","PM10","SO2","CO","NO2","O3","排名"
"1","2014-01-01",87,"76~99","良",45,111.3,27.7,1.507,61.9,64,32
"2","2014-01-02",119,"80~218","轻度污染",111.4,168.5,69.3,3.431,93.1,17,66
"3","2014-01-03",81,"38~202","良",46.5,97.7,29,1.301,52,65,41
"4","2014-01-04",151,"87~229","中度污染",114.4,147,40,2.82,75.4,10,112
"5","2014-01-05",121,"33~220","轻度污染",90.5,117.5,35.9,2.297,67,57,67
"6","2014-01-06",181,"149~228","中度污染",137.5,157.8,46.3,2.383,68.2,11,104
"7","2014-01-07",144,"20~247","轻度污染",110.6,124.9,34.4,1.978,59.8,55,85
"8","2014-01-08",29,"20~43","优",15.3,24.6,13,0.499,21.1,59,9
"9","2014-01-09",44,"18~82","优",27,45.5,19.3,0.796,34.5,65,25
"10","2014-01-10",86,"53~157","良",62.8,93.5,53.2,1.9,70.5,28,58
"11","2014-01-11",140,"84~247","轻度污染",106.2,128.2,75.9,2.817,89.8,20,106
"12","2014-01-12",47,"20~87","优",26.6,47.2,26.9,0.731,39.1,68,32
"13","2014-01-13",110,"69~194","轻度污染",82.2,107,66.5,2.297,78.1,27,113
"14","2014-01-14",109,"50~175","轻度污染",81.5,107.6,67.8,2.397,74.2,31,87
"15","2014-01-15",120,"67~458","轻度污染",94.9,117.4,66,2.65,83.8,25,68
"16","2014-01-16",390,"172~487","严重污染",353,384.5,109.2,4.601,122.9,32,179
"17","2014-01-17",207,"94~365","重度污染",165.1,193.8,66.7,2.449,75.8,47,115
"18","2014-01-18",100,"36~237","轻度污染",74.5,81.2,42.2,1.52,60.8,44,50
"19","2014-01-19",178,"119~244","中度污染",115.4,186.1,71.3,2.509,72.2,66,101
"20","2014-01-20",39,"26~103","优",7.8,34.7,6.1,0.315,14.7,67,6
"21","2014-01-21",30,"23~52","优",18.3,24.9,26.5,0.725,34,50,6
"22","2014-01-22",150,"105~247","中度污染",114.8,137.6,74.5,2.228,93.3,22,147
"23","2014-01-23",271,"228~325","重度污染",220.9,262.5,117.6,4.039,125,10,182
"24","2014-01-24",185,"46~314","中度污染",147.8,167.8,78.6,2.78,92.1,30,117
"25","2014-01-25",42,"21~81","优",24.2,41.6,24.5,0.963,42.3,66,18
"26","2014-01-26",77,"54~146","良",52.6,81,44.9,0.997,47.5,51,78
"27","2014-01-27",128,"28~206","轻度污染",89.2,119.5,56.5,1.781,60,63,116
"28","2014-01-28",61,"23~106","良",39.6,74.9,28.2,0.907,38.5,70,53
"29","2014-01-29",154,"93~250","中度污染",118.2,141.2,70.7,2.311,74.9,24,136
"30","2014-01-30",99,"22~233","良",71.7,96.7,39.3,1.215,45.9,73,50
"31","2014-01-31",184,"110~361","中度污染",143.2,181.7,63.2,1.445,47.9,45,82
"32","2014-02-01",179,"149~213","中度污染",135.1,145.8,51.5,1.978,57.5,16,130
"33","2014-02-02",109,"34~206","轻度污染",65.9,97.5,19.1,1.223,31.3,77,63
"34","2014-02-03",40,"33~58","优",5.2,31.7,4.8,0.303,8.1,76,29
"35","2014-02-04",51,"29~128","良",26.9,40.3,19.1,0.615,21.1,71,52
"36","2014-02-05",117,"91~158","轻度污染",88.3,102.4,53.2,1.574,48.7,48,177
"37","2014-02-06",159,"118~197","中度污染",120.2,130.4,66.3,2.047,63.8,48,181
"38","2014-02-07",134,"130~137","轻度污染",101.7,67.3,33.3,1.578,59,16,167
"39","2014-02-08",96,"22~169","良",66.7,39.7,22.8,1.186,35.9,69,105
